lat,lon,k2,k3,k4,k5,k6
37.787359494956,-122.408231026261,0,1,0,4,4
37.7874861572042,-122.418368839172,0,1,0,0,1
37.7599911968125,-122.413704070257,1,0,1,1,2
37.7652491154428,-122.416389710291,1,0,1,1,2
37.7886989511418,-122.420307355728,0,1,0,0,5
37.7886989511647,-122.420307355721,0,1,0,0,5
37.7594801325769,-122.418108925859,1,0,1,1,2
37.7844496612791,-122.416075285051,0,1,0,0,1
37.7586968166489,-122.41796448376,1,0,1,1,2
37.7726948236861,-122.422188261426,1,0,1,1,2
37.7880116318733,-122.421861006175,0,1,0,0,5
37.7905770710537,-122.420691680792,0,1,0,0,5
37.7874861572042,-122.418368839172,0,1,0,0,1
37.787245037815,-122.416642370005,0,1,0,0,1
37.7900459017168,-122.41720963943,0,1,0,0,1
37.7620347866519,-122.416078423909,1,0,1,1,2
37.789618819255,-122.42049728879,0,1,0,0,5
37.7879652569797,-122.418467747931,0,1,0,0,1
37.7636337703031,-122.416230392551,1,0,1,1,2
37.7644225165568,-122.416374835778,1,0,1,1,2
37.7842362877887,-122.417710344726,0,1,0,0,1
37.7630355540213,-122.50966215971,1,2,2,3,3
37.7604330003754,-122.415929849548,1,0,1,1,2
37.7886989511647,-122.420307355721,0,1,0,0,5
37.7868262082156,-122.419930111611,0,1,0,0,1
37.7619674218102,-122.417180448635,1,0,1,1,2
37.7620990020727,-122.415000536794,1,0,1,1,2
37.7874861572271,-122.418368839165,0,1,0,0,1
37.7842860480389,-122.416893710739,0,1,0,0,1
37.7184872987286,-122.483904120247,1,2,3,2,0
37.7604330003754,-122.415929849548,1,0,1,1,2
37.7851670875288,-122.417903977571,0,1,0,0,1
37.7879652569797,-122.418467747931,0,1,0,0,1
37.7905770710308,-122.420691680799,0,1,0,0,5
37.7844496612562,-122.416075285059,0,1,0,0,1
37.790369068882,-122.422330464198,0,1,0,0,5
37.7636337702985,-122.416230392543,1,0,1,1,2
37.7879652569568,-122.418467747938,0,1,0,0,1
37.7628151579852,-122.416220195692,1,0,1,1,2
37.7604330003754,-122.415929849548,1,0,1,1,2
37.7638222259466,-122.413591695569,1,0,1,1,2
37.7620990020681,-122.415000536786,1,0,1,1,2
37.7851670875288,-122.417903977571,0,1,0,0,1
37.7652491154428,-122.416389710291,1,0,1,1,2
37.7594227506297,-122.419058868103,1,0,1,1,2
37.7605000725995,-122.414845139206,1,0,1,1,2
37.7651098786267,-122.418701003292,1,0,1,1,2
37.7851670875517,-122.417903977564,0,1,0,0,1
37.7620347866564,-122.416078423916,1,0,1,1,2
37.7844496612562,-122.416075285059,0,1,0,0,1
37.7878052240334,-122.419295456225,0,1,0,0,1
37.7636979308928,-122.415155941062,1,0,1,1,2
37.7652491154428,-122.416389710291,1,0,1,1,2
37.7900459017168,-122.41720963943,0,1,0,0,1
37.7652491154428,-122.416389710291,1,0,1,1,2
37.7620347866519,-122.416078423909,1,0,1,1,2
37.7619674218102,-122.417180448635,1,0,1,1,2
37.7905770710537,-122.420691680792,0,1,0,0,5
37.787245037815,-122.416642370005,0,1,0,0,1
37.7620990020681,-122.415000536786,1,0,1,1,2
37.7612911364242,-122.485038730456,1,2,2,3,3
37.7571677817188,-122.416720982004,1,0,1,1,2
37.7652223955694,-122.394333134122,1,0,1,1,2
37.7874861572042,-122.418368839172,0,1,0,0,1
37.7874861572042,-122.418368839172,0,1,0,0,1
37.7853750846376,-122.416261836834,0,1,0,0,1
37.7907880214451,-122.41903911933,0,1,0,0,5
37.788440503956,-122.401817240144,0,1,0,4,4
37.7905770710537,-122.420691680792,0,1,0,0,5
37.7844496612562,-122.416075285059,0,1,0,0,1
37.7875490095115,-122.421762501792,0,1,0,0,5
37.7590272974542,-122.412502863683,1,0,1,1,2
37.7887772719153,-122.408431861057,0,1,0,4,4
37.7588312134679,-122.415781281593,1,0,1,1,2
37.7620990020727,-122.415000536794,1,0,1,1,2
37.7652491154428,-122.416389710291,1,0,1,1,2
37.7877570602411,-122.420120319204,0,1,0,0,1
37.7635718955939,-122.417332582598,1,0,1,1,2
37.7636337702985,-122.416230392543,1,0,1,1,2
37.7604330003754,-122.415929849548,1,0,1,1,2
37.7870372043685,-122.41827417166,0,1,0,0,1
37.7621586646265,-122.414033253217,1,0,1,1,2
37.7905770710537,-122.420691680792,0,1,0,0,5
37.7611477647601,-122.417169894749,1,0,1,1,2
37.7603656931618,-122.417028392114,1,0,1,1,2
37.7184872987286,-122.483904120247,1,2,3,2,0
37.7620347866519,-122.416078423909,1,0,1,1,2
37.7838226942199,-122.421011927709,0,1,0,0,1
37.7915436932136,-122.420052444419,0,1,0,0,5
37.7844496612562,-122.416075285059,0,1,0,0,1
37.7853750846376,-122.416261836834,0,1,0,0,1
37.7620990020681,-122.415000536786,1,0,1,1,2
